CLOSE,DATE
131.12,2022-03-15
131.12,2022-03-16
131.12,2022-03-17
131.12,2022-03-18
131.12,2022-03-21
131.12,2022-03-22
131.12,2022-03-23
145.97,2022-03-24
136.24,2022-03-24
129.01,2022-03-25
131.5,2022-03-25
126.0,2022-03-28
125.0,2022-03-28
127.0,2022-03-29
128.77,2022-03-29
133.0,2022-03-30
131.22,2022-03-30
134.6,2022-03-30
144.82,2022-03-31
143.69,2022-03-31
154.49,2022-04-01
154.5,2022-04-01
165.77,2022-04-04
166.0,2022-04-04
155.5,2022-04-05
154.1,2022-04-05
140.79,2022-04-06
141.6,2022-04-06
145.69,2022-04-07
147.5,2022-04-07
141.88,2022-04-08
143.72,2022-04-08
139.5,2022-04-11
138.69,2022-04-11
137.87,2022-04-12
135.38,2022-04-12
135.71,2022-04-13
135.5,2022-04-13
129.51,2022-04-14
129.05,2022-04-14
131.88,2022-04-15
130.88,2022-04-15
124.01,2022-04-18
123.85,2022-04-18
120.88,2022-04-19
120.3,2022-04-19
120.04,2022-04-20
121.5,2022-04-20
122.29,2022-04-21
118.65,2022-04-21
116.0,2022-04-22
116.97,2022-04-22
115.97,2022-04-25
111.9,2022-04-25
122.49,2022-04-26
122.36,2022-04-26
130.85,2022-04-27
131.11,2022-04-27
124.0,2022-04-28
123.85,2022-04-28
128.56,2022-04-29
128.8,2022-04-29
125.22,2022-05-04
123.2,2022-05-04
123.29,2022-05-05
124.8,2022-05-05
123.99,2022-05-06
123.1,2022-05-06
123.99,2022-05-11
123.34,2022-05-11
119.63,2022-05-12
119.15,2022-05-12
119.91,2022-05-13
120.2,2022-05-13
123.0,2022-05-16
123.41,2022-05-16
125.8,2022-05-17
127.75,2022-05-17
126.0,2022-05-18
125.12,2022-05-18
128.85,2022-05-19
125.6,2022-05-19
123.0,2022-05-20
122.2,2022-05-20
119.0,2022-05-23
119.46,2022-05-23
122.11,2022-05-24
123.6,2022-05-24
120.85,2022-05-25
124.15,2022-05-25
125.4,2022-05-26
123.0,2022-05-26
122.0,2022-05-27
121.22,2022-05-27
120.51,2022-05-30
120.67,2022-05-30
117.86,2022-05-31
118.3,2022-05-31
122.8,2022-06-01
121.97,2022-06-01
119.35,2022-06-02
119.0,2022-06-02
118.61,2022-06-03
119.21,2022-06-03
118.06,2022-06-06
118.78,2022-06-06
120.49,2022-06-07
118.32,2022-06-07
121.98,2022-06-08
119.9,2022-06-08
117.42,2022-06-09
118.2,2022-06-09
118.2,2022-06-10
118.07,2022-06-10
118.26,2022-06-14
118.98,2022-06-14
120.15,2022-06-15
121.14,2022-06-15
123.58,2022-06-16
123.73,2022-06-16
123.31,2022-06-17
123.14,2022-06-17
123.88,2022-06-17
130.01,2022-06-20
131.29,2022-06-20
129.2,2022-06-21
129.1,2022-06-21
132.36,2022-06-22
133.11,2022-06-22
135.8,2022-06-23
136.85,2022-06-23
137.31,2022-06-24
137.76,2022-06-24
141.39,2022-06-27
141.15,2022-06-27
140.7,2022-06-28
139.99,2022-06-28
134.49,2022-06-29
132.8,2022-06-29
125.49,2022-06-30
125.2,2022-06-30
133.0,2022-07-01
129.91,2022-07-01
131.4,2022-07-04
131.43,2022-07-04
133.2,2022-07-05
133.5,2022-07-05
137.99,2022-07-06
134.0,2022-07-06
134.48,2022-07-07
133.09,2022-07-07
132.79,2022-07-08
133.3,2022-07-08
126.88,2022-07-11
126.8,2022-07-11
129.01,2022-07-12
129.0,2022-07-12
125.52,2022-07-13
126.0,2022-07-13
125.78,2022-07-14
125.9,2022-07-14
129.49,2022-07-15
128.9,2022-07-15
127.14,2022-07-18
128.11,2022-07-18
126.48,2022-07-19
127.76,2022-07-19
126.65,2022-07-20
126.44,2022-07-20
125.4,2022-07-21
125.48,2022-07-21
125.8,2022-07-22
128.82,2022-07-22
130.98,2022-07-25
131.45,2022-07-25
132.48,2022-07-26
132.9,2022-07-26
131.78,2022-07-27
132.5,2022-07-27
132.49,2022-07-28
131.72,2022-07-28
131.0,2022-07-29
131.9,2022-07-29
127.86,2022-08-01
127.34,2022-08-01
126.41,2022-08-02
127.53,2022-08-02
126.69,2022-08-03
126.85,2022-08-03
126.02,2022-08-04
126.95,2022-08-04
123.5,2022-08-05
122.4,2022-08-05
120.6,2022-08-08
123.81,2022-08-08
125.98,2022-08-09
126.4,2022-08-09
123.79,2022-08-10
126.2,2022-08-10
123.58,2022-08-11
123.45,2022-08-11
121.78,2022-08-12
124.88,2022-08-12
124.87,2022-08-15
125.0,2022-08-15
125.08,2022-08-16
126.39,2022-08-16
124.43,2022-08-17
124.5,2022-08-17
124.61,2022-08-18
126.3,2022-08-18
126.99,2022-08-19
125.2,2022-08-19
122.79,2022-08-22
126.06,2022-08-22
129.93,2022-08-23
130.38,2022-08-23
127.78,2022-08-24
128.15,2022-08-24
127.99,2022-08-25
128.18,2022-08-25
130.0,2022-08-26
130.4,2022-08-26
130.74,2022-08-29
131.17,2022-08-29
129.01,2022-08-30
130.05,2022-08-30
137.06,2022-08-31
134.25,2022-08-31
137.19,2022-09-01
138.2,2022-09-01
143.75,2022-09-02
143.8,2022-09-02
141.5,2022-09-05
141.0,2022-09-05
132.33,2022-09-06
137.23,2022-09-06
136.0,2022-09-07
136.86,2022-09-07
134.94,2022-09-08
134.51,2022-09-08
137.5,2022-09-09
138.15,2022-09-09
137.46,2022-09-12
138.7,2022-09-12
137.49,2022-09-13
137.0,2022-09-13
138.01,2022-09-14
138.9,2022-09-14
138.31,2022-09-15
139.48,2022-09-15
139.17,2022-09-16
139.52,2022-09-16
137.73,2022-09-16
139.0,2022-09-19
138.04,2022-09-19
123.0,2022-09-20
125.1,2022-09-20
123.97,2022-09-21
120.23,2022-09-21
124.02,2022-09-22
124.31,2022-09-22
120.59,2022-09-23
119.39,2022-09-23
108.0,2022-09-26
107.06,2022-09-26
119.95,2022-09-27
112.92,2022-09-27
121.97,2022-09-28
111.06,2022-09-28
109.84,2022-09-29
110.41,2022-09-29
110.0,2022-09-30
110.21,2022-09-30
114.5,2022-10-03
114.35,2022-10-03
110.5,2022-10-04
110.55,2022-10-04
109.5,2022-10-05
108.51,2022-10-05
108.0,2022-10-06
108.24,2022-10-06
104.99,2022-10-07
101.5,2022-10-07
106.5,2022-10-10
106.71,2022-10-10
105.1,2022-10-11
107.72,2022-10-11
105.0,2022-10-12
105.9,2022-10-12
106.49,2022-10-13
106.5,2022-10-13
108.28,2022-10-14
107.78,2022-10-14
109.63,2022-10-17
112.44,2022-10-17
112.09,2022-10-18
110.88,2022-10-18
110.0,2022-10-19
112.39,2022-10-19
115.0,2022-10-20
116.98,2022-10-20
118.65,2022-10-21
119.45,2022-10-21
119.0,2022-10-24
118.8,2022-10-24
124.05,2022-10-25
124.36,2022-10-25
126.7,2022-10-26
124.43,2022-10-26
125.0,2022-10-27
126.61,2022-10-27
127.47,2022-10-28
126.97,2022-10-28
127.44,2022-10-31
126.72,2022-10-31
126.0,2022-11-01
127.05,2022-11-01
124.33,2022-11-02
125.49,2022-11-02
126.94,2022-11-03
125.75,2022-11-03
132.0,2022-11-07
132.0,2022-11-07
132.92,2022-11-08
131.29,2022-11-08
128.28,2022-11-09
127.3,2022-11-09
132.31,2022-11-10
136.68,2022-11-10
137.9,2022-11-11
136.98,2022-11-11
139.0,2022-11-14
139.8,2022-11-14
135.9,2022-11-15
135.66,2022-11-15
137.03,2022-11-16
139.18,2022-11-16
137.79,2022-11-17
137.57,2022-11-17
140.0,2022-11-18
136.89,2022-11-18
134.0,2022-11-21
134.46,2022-11-21
133.82,2022-11-22
135.65,2022-11-22
135.53,2022-11-23
136.59,2022-11-23
136.0,2022-11-24
136.61,2022-11-24
137.38,2022-11-25
136.53,2022-11-25
134.8,2022-11-28
135.53,2022-11-28
135.5,2022-11-29
136.37,2022-11-29
136.32,2022-11-30
136.78,2022-11-30
136.04,2022-12-01
137.15,2022-12-01
136.73,2022-12-02
136.66,2022-12-02
138.3,2022-12-05
142.0,2022-12-05
142.76,2022-12-06
140.61,2022-12-06
141.5,2022-12-07
142.32,2022-12-07
139.34,2022-12-08
139.92,2022-12-08
140.92,2022-12-09
