CLOSE,DATE
296.0,2022-03-15
296.0,2022-03-16
296.0,2022-03-17
296.0,2022-03-18
296.0,2022-03-21
296.0,2022-03-22
296.0,2022-03-23
296.0,2022-03-24
296.0,2022-03-25
296.0,2022-03-28
510.0,2022-03-29
475.6,2022-03-30
559.4,2022-03-30
567.0,2022-03-31
556.2,2022-04-01
536.0,2022-04-04
502.2,2022-04-05
502.0,2022-04-06
492.0,2022-04-07
497.8,2022-04-08
488.0,2022-04-11
468.8,2022-04-12
466.8,2022-04-13
430.2,2022-04-14
422.6,2022-04-15
426.0,2022-04-18
422.0,2022-04-19
437.8,2022-04-20
425.4,2022-04-21
416.8,2022-04-22
370.6,2022-04-25
378.2,2022-04-26
432.0,2022-04-27
404.0,2022-04-28
399.0,2022-04-29
386.8,2022-05-04
386.0,2022-05-05
374.6,2022-05-06
370.0,2022-05-11
338.4,2022-05-12
339.0,2022-05-13
349.0,2022-05-16
357.2,2022-05-17
375.2,2022-05-18
361.6,2022-05-19
350.2,2022-05-20
345.0,2022-05-23
335.6,2022-05-24
344.8,2022-05-25
351.4,2022-05-26
347.0,2022-05-27
340.2,2022-05-30
336.0,2022-05-31
333.4,2022-06-01
328.8,2022-06-02
307.8,2022-06-03
288.0,2022-06-06
280.2,2022-06-07
290.0,2022-06-08
279.0,2022-06-09
280.0,2022-06-10
269.0,2022-06-14
300.8,2022-06-15
313.6,2022-06-16
311.0,2022-06-17
308.0,2022-06-17
310.0,2022-06-20
300.0,2022-06-21
292.8,2022-06-22
310.6,2022-06-23
302.8,2022-06-24
316.2,2022-06-27
338.4,2022-06-28
324.0,2022-06-29
302.4,2022-06-30
303.0,2022-07-01
315.6,2022-07-04
314.8,2022-07-05
321.0,2022-07-06
332.8,2022-07-07
328.8,2022-07-08
323.0,2022-07-11
319.8,2022-07-12
307.8,2022-07-13
300.8,2022-07-14
307.6,2022-07-15
322.2,2022-07-18
319.6,2022-07-19
315.8,2022-07-20
311.4,2022-07-21
318.2,2022-07-22
360.2,2022-07-25
410.0,2022-07-26
400.0,2022-07-27
414.4,2022-07-28
409.0,2022-07-29
391.0,2022-08-01
365.6,2022-08-02
402.4,2022-08-03
413.8,2022-08-04
387.6,2022-08-05
411.8,2022-08-08
444.0,2022-08-09
461.0,2022-08-10
407.0,2022-08-11
418.0,2022-08-12
411.0,2022-08-15
413.8,2022-08-16
419.6,2022-08-17
416.2,2022-08-18
414.4,2022-08-19
421.8,2022-08-22
447.8,2022-08-23
429.0,2022-08-24
433.2,2022-08-25
436.8,2022-08-26
433.0,2022-08-29
429.2,2022-08-30
428.0,2022-08-31
422.0,2022-09-01
419.6,2022-09-02
431.6,2022-09-05
418.0,2022-09-06
422.0,2022-09-07
423.0,2022-09-08
437.0,2022-09-09
468.0,2022-09-12
461.8,2022-09-13
464.8,2022-09-14
484.6,2022-09-15
482.0,2022-09-16
510.0,2022-09-16
550.2,2022-09-19
493.0,2022-09-20
447.6,2022-09-21
469.6,2022-09-22
419.8,2022-09-23
330.2,2022-09-26
375.4,2022-09-27
362.0,2022-09-28
356.0,2022-09-29
363.2,2022-09-30
392.2,2022-10-03
390.4,2022-10-04
390.0,2022-10-05
386.4,2022-10-06
360.8,2022-10-07
382.4,2022-10-10
403.4,2022-10-11
427.6,2022-10-12
440.0,2022-10-13
439.0,2022-10-14
455.2,2022-10-17
429.2,2022-10-18
436.0,2022-10-19
435.0,2022-10-20
440.6,2022-10-21
437.6,2022-10-24
448.2,2022-10-25
450.2,2022-10-26
446.2,2022-10-27
446.4,2022-10-28
453.0,2022-10-31
468.8,2022-11-01
449.6,2022-11-02
455.4,2022-11-03
469.8,2022-11-07
476.2,2022-11-08
464.0,2022-11-09
502.4,2022-11-10
499.8,2022-11-11
521.0,2022-11-14
497.8,2022-11-15
508.0,2022-11-16
505.2,2022-11-17
502.4,2022-11-18
489.8,2022-11-21
501.2,2022-11-22
505.6,2022-11-23
506.8,2022-11-24
498.8,2022-11-25
495.8,2022-11-28
499.4,2022-11-29
506.4,2022-11-30
501.8,2022-12-01
496.6,2022-12-02
498.2,2022-12-05
487.8,2022-12-06
484.6,2022-12-07
474.4,2022-12-08
471.2,2022-12-09
468.2,2022-12-12
463.6,2022-12-13
443.0,2022-12-14
441.2,2022-12-15
440.3,2022-12-16
442.6,2022-12-16
433.4,2022-12-19
449.4,2022-12-20
440.0,2022-12-21
460.8,2022-12-22
451.0,2022-12-23
452.6,2022-12-26
453.2,2022-12-27
440.6,2022-12-28
441.6,2022-12-29
437.0,2022-12-30
446.8,2023-01-03
451.2,2023-01-04
450.6,2023-01-05
446.6,2023-01-06
451.0,2023-01-09
449.8,2023-01-10
462.8,2023-01-11
469.4,2023-01-12
473.4,2023-01-13
489.8,2023-01-16
474.2,2023-01-17
476.8,2023-01-18
